Probability of Ototoxicity,Cost,Strategy 1,Strategy 2,Strategy 3,QALY,Strategy 1,Strategy 2,Strategy 3,LY,Strategy 1,Strategy 2,Strategy 3,ICER ($/QALY),Strategy 1,Strategy 2,ICER of Enhanced Clinical Observation compared to NSC,WTP Threshold
0.0149,,5094.99226,4741.565783,4830.575677,,79.97752632,79.98208698,79.98622964,,0.999965845,0.999965845,0.999965845,,Strongly Dominated,Baseline,21486.16554,50000
0.01508,,5101.468063,4746.537366,4834.18091,,79.97728913,79.98190489,79.98609759,,0.999965845,0.999965845,0.999965845,,Strongly Dominated,Baseline,20903.81193,50000
0.01526,,5107.943866,4751.50895,4837.786142,,79.97705194,79.98172279,79.98596554,,0.999965845,0.999965845,0.999965845,,Strongly Dominated,Baseline,20335.19666,50000
0.01544,,5114.41967,4756.480533,4841.391375,,79.97681475,79.9815407,79.9858335,,0.999965845,0.999965845,0.999965845,,Strongly Dominated,Baseline,19779.83926,50000
0.01562,,5120.895473,4761.452116,4844.996607,,79.97657756,79.9813586,79.98570145,,0.999965845,0.999965845,0.999965845,,Strongly Dominated,Baseline,19237.28138,50000
0.0158,,5127.371276,4766.4237,4848.60184,,79.97634037,79.98117651,79.9855694,,0.999965845,0.999965845,0.999965845,,Strongly Dominated,Baseline,18707.08557,50000
0.01598,,5133.84708,4771.395283,4852.207072,,79.97610318,79.98099441,79.98543735,,0.999965845,0.999965845,0.999965845,,Strongly Dominated,Baseline,18188.8341,50000
0.01616,,5140.322883,4776.366867,4855.812305,,79.97586599,79.98081232,79.9853053,,0.999965845,0.999965845,0.999965845,,Strongly Dominated,Baseline,17682.12782,50000
0.01634,,5146.798686,4781.33845,4859.417537,,79.9756288,79.98063022,79.98517325,,0.999965845,0.999965845,0.999965845,,Strongly Dominated,Baseline,17186.5852,50000
0.01652,,5153.27449,4786.310034,4863.02277,,79.97539161,79.98044813,79.9850412,,0.999965845,0.999965845,0.999965845,,Strongly Dominated,Baseline,16701.84132,50000
0.0167,,5159.750293,4791.281617,4866.628002,,79.97515442,79.98026603,79.98490915,,0.999965845,0.999965845,0.999965845,,Strongly Dominated,Baseline,16227.54701,50000
0.01688,,5166.226096,4796.2532,4870.233235,,79.97491723,79.98008394,79.9847771,,0.999965845,0.999965845,0.999965845,,Strongly Dominated,Baseline,15763.36798,50000
0.01706,,5172.7019,4801.224784,4873.838467,,79.97468004,79.97990184,79.98464505,,0.999965845,0.999965845,0.999965845,,Strongly Dominated,Baseline,15308.98404,50000
0.01724,,5179.177703,4806.196367,4877.4437,,79.97444285,79.97971975,79.984513,,0.999965845,0.999965845,0.999965845,,Strongly Dominated,Baseline,14864.08839,50000
0.01742,,5185.653506,4811.167951,4881.048932,,79.97420566,79.97953765,79.98438095,,0.999965845,0.999965845,0.999965845,,Strongly Dominated,Baseline,14428.38691,50000
0.0176,,5192.12931,4816.139534,4884.654165,,79.97396847,79.97935556,79.9842489,,0.999965845,0.999965845,0.999965845,,Strongly Dominated,Baseline,14001.5975,50000
0.01778,,5198.605113,4821.111118,4888.259397,,79.97373128,79.97917346,79.98411685,,0.999965845,0.999965845,0.999965845,,Strongly Dominated,Baseline,13583.44949,50000
0.01796,,5205.080916,4826.082701,4891.86463,,79.97349409,79.97899137,79.9839848,,0.999965845,0.999965845,0.999965845,,Strongly Dominated,Baseline,13173.68307,50000
0.01814,,5211.55672,4831.054285,4895.469862,,79.9732569,79.97880927,79.98385275,,0.999965845,0.999965845,0.999965845,,Strongly Dominated,Baseline,12772.04872,50000
0.01832,,5218.032523,4836.025868,4899.075095,,79.97301971,79.97862718,79.98372071,,0.999965845,0.999965845,0.999965845,,Strongly Dominated,Baseline,12378.30674,50000
0.0185,,5224.508326,4840.997451,4902.680327,,79.97278252,79.97844508,79.98358866,,0.999965845,0.999965845,0.999965845,,Strongly Dominated,Baseline,11992.22677,50000
0.01868,,5230.98413,4845.969035,4906.28556,,79.97254533,79.97826299,79.98345661,,0.999965845,0.999965845,0.999965845,,Strongly Dominated,Baseline,11613.5873,50000
0.01886,,5237.459933,4850.940618,4909.890792,,79.97230814,79.97808089,79.98332456,,0.999965845,0.999965845,0.999965845,,Strongly Dominated,Baseline,11242.17531,50000
0.01904,,5243.935736,4855.912202,4913.496025,,79.97207095,79.9778988,79.98319251,,0.999965845,0.999965845,0.999965845,,Strongly Dominated,Baseline,10877.78581,50000
0.01922,,5250.41154,4860.883785,4917.101257,,79.97183376,79.9777167,79.98306046,,0.999965845,0.999965845,0.999965845,,Strongly Dominated,Baseline,10520.22151,50000
0.0194,,5256.887343,4865.855369,4920.70649,,79.97159657,79.97753461,79.98292841,,0.999965845,0.999965845,0.999965845,,Strongly Dominated,Baseline,10169.29241,50000
0.01958,,5263.363146,4870.826952,4924.311722,,79.97135938,79.97735251,79.98279636,,0.999965845,0.999965845,0.999965845,,Strongly Dominated,Baseline,9824.815531,50000
